2009_United_Nations_Climate_Change_Conference	1360	1140
2010_United_Nations_Climate_Change_Conference	264	84
2011_United_Nations_Climate_Change_Conference	234	0
2012_United_Nations_Climate_Change_Conference	371	0
2013_United_Nations_Climate_Change_Conference	80	0
Abrupt_climate_change	338	0
Adaptation_to_global_warming	732	792
Agrarianism	383	0
Albedo	920	0
Albrecht_effect	13	0
American_Physical_Society	190	0
Anarcho-primitivism	1308	0
Anekdote_zur_Senkung_der_Arbeitsmoral	36	0
Anthropocene	478	703
Anti-consumerism	437	0
Aparigraha	46	0
Appropriate_technology	1037	70
Arctic_dipole_anomaly	36	0
Arctic_haze	156	0
Arctic_methane_release	270	292
Asceticism	1145	402
Atlantic_multidecadal_oscillation	229	0
Atmosphere_of_Earth	5070	4797
Attribution_of_recent_climate_change	1177	11640
Australian_Meteorological_and_Oceanographic_Society	11	0
Avoiding_dangerous_climate_change	284	160
Back-to-the-land_movement	252	0
Bali_Road_Map	139	0
Barter	1375	99
Biofuel	5688	4524
Birth_control	4360	16659
Black_carbon	379	126
Bohemianism	1280	160
Bond_event	172	0
Brian_Hoskins	96	0
Canadian_Meteorological_and_Oceanographic_Society	50	0
Car-free_movement	342	0
Carbon_capture_and_storage	1383	42
Carbon_credit	859	42
Carbon_cycle	2741	1241
Carbon_dioxide	6605	48672
Carbon_dioxide_removal	195	0
Carbon_offset	1406	96
Carbon_sink	1019	0
Carbon_tax	1669	645
Carbon-neutral_fuel	234	0
Charles_David_Keeling	140	0
Chlorofluorocarbon	584	65
Climate	2794	352
Climate_Change_Science_Program	307	0
Climate_change	4041	10640
Climate_change_adaptation_in_Nepal	45	0
Climate_change_and_agriculture	685	352
Climate_change_and_ecosystems	96	0
Climate_change_and_poverty	69	0
Climate_change_denial	1578	19412
Climate_change_feedback	202	0
Climate_change_in_Africa	8	0
Climate_change_in_Australia	354	0
Climate_change_in_Belgium	13	0
Climate_change_in_China	147	6
Climate_change_in_Europe	35	0
Climate_change_in_Finland	30	0
Climate_change_in_Grenada	2	0
Climate_change_in_Japan	60	0
Climate_change_in_New_Zealand	403	0
Climate_change_in_Russia	47	0
Climate_change_in_Scotland	52	0
