15718582	2009_United_Nations_Climate_Change_Conference	1360	592	185	218	14	10	116	1140	901	322	67	108	8	6	105	618	20
25587148	2010_United_Nations_Climate_Change_Conference	264	106	18	21	4	3	31	84	201	72	9	14	0	0	0	0	3
30820783	2011_United_Nations_Climate_Change_Conference	234	87	21	25	2	2	2	0	194	53	6	10	0	0	0	0	4
35740340	2012_United_Nations_Climate_Change_Conference	371	98	21	26	0	0	0	0	331	67	9	15	0	0	0	0	5
38585538	2013_United_Nations_Climate_Change_Conference	80	42	11	14	2	2	2	0	59	22	1	4	0	0	0	0	2
2240837	Abrupt_climate_change	338	115	37	38	2	2	53	0	278	82	11	21	2	2	53	0	3
4607152	Adaptation_to_global_warming	732	359	99	108	26	18	46	792	532	205	39	49	8	7	21	119	8
1193	Agrarianism	383	207	31	47	2	2	7	0	261	120	5	21	0	0	0	0	10
39	Albedo	920	525	127	176	2	2	2	0	622	324	19	85	0	0	0	0	18
31464039	Albrecht_effect	13	9	0	0	0	0	0	0	13	9	0	0	0	0	0	0	0
222368	American_Physical_Society	190	137	13	23	2	2	2	0	147	104	8	16	2	2	2	0	1
98405	Anarcho-primitivism	1308	564	82	105	2	2	26	0	914	327	32	56	2	2	26	0	7
17113192	Anekdote_zur_Senkung_der_Arbeitsmoral	36	18	0	0	0	0	0	0	31	13	0	0	0	0	0	0	1
374390	Anthropocene	478	277	77	71	34	19	39	703	352	173	31	24	6	4	11	36	13
3942109	Anti-consumerism	437	297	35	62	0	0	0	0	270	173	9	33	0	0	0	0	8
6770481	Aparigraha	46	36	1	2	0	0	0	0	40	30	0	1	0	0	0	0	1
190450	Appropriate_technology	1037	521	50	71	6	5	17	70	626	265	21	39	2	2	12	0	14
28130762	Arctic_dipole_anomaly	36	25	2	4	0	0	0	0	31	21	1	3	0	0	0	0	1
7004443	Arctic_haze	156	68	3	5	0	0	0	0	132	52	0	2	0	0	0	0	2
19480112	Arctic_methane_release	270	105	25	25	4	4	77	292	229	68	14	14	4	4	77	292	4
83484	Asceticism	1145	668	95	132	8	6	75	402	609	341	17	55	0	0	0	0	14
8813953	Atlantic_multidecadal_oscillation	229	100	16	15	2	2	32	0	164	70	8	8	2	2	32	0	1
202898	Atmosphere_of_Earth	5070	2499	1566	1742	50	41	120	4797	2889	1056	185	602	16	14	56	406	37
3201	Attribution_of_recent_climate_change	1177	348	222	156	44	24	605	11640	1052	260	160	103	42	23	591	10833	10
16575482	Australian_Meteorological_and_Oceanographic_Society	11	10	0	0	0	0	0	0	11	10	0	0	0	0	0	0	1
10086576	Avoiding_dangerous_climate_change	284	132	52	54	12	10	20	160	238	96	28	35	6	5	9	25	7
295693	Back-to-the-land_movement	252	144	14	24	2	2	3	0	174	83	5	15	2	2	3	0	6
14732686	Bali_Road_Map	139	62	4	8	0	0	0	0	117	40	1	4	0	0	0	0	1
4232	Barter	1375	708	228	297	10	9	16	99	777	323	45	130	4	4	7	8	6
188543	Biofuel	5688	2490	1312	1409	48	39	121	4524	3303	1052	237	534	10	10	37	110	26
18978770	Birth_control	4360	1698	806	952	30	27	629	16659	3136	826	186	406	12	11	580	803	34
3797013	Black_carbon	379	168	36	35	16	9	16	126	281	99	13	12	0	0	0	0	5
373672	Bohemianism	1280	748	181	217	8	8	27	160	697	329	30	75	2	2	4	0	12
12887090	Bond_event	172	60	10	11	2	2	51	0	155	47	5	6	2	2	51	0	5
1040193	Brian_Hoskins	96	66	10	14	2	2	2	0	69	50	3	7	0	0	0	0	3
10718115	Canadian_Meteorological_and_Oceanographic_Society	50	31	0	0	0	0	0	0	38	24	0	0	0	0	0	0	2
715270	Car-free_movement	342	167	20	25	0	0	0	0	259	119	9	16	0	0	0	0	3
3679268	Carbon_capture_and_storage	1383	661	113	145	6	6	21	42	951	360	33	76	4	4	18	16	9
1693139	Carbon_credit	859	460	139	190	6	6	9	42	485	211	27	84	2	2	5	0	4
47503	Carbon_cycle	2741	1353	887	965	24	17	76	1241	1369	542	80	351	6	5	18	75	18
5906	Carbon_dioxide	6605	3214	1929	2081	96	72	679	48672	3869	1262	304	679	22	15	506	7245	33
21072589	Carbon_dioxide_removal	195	84	14	21	0	0	0	0	155	56	0	10	0	0	0	0	4
2322153	Carbon_offset	1406	625	169	227	6	6	27	96	935	330	48	118	2	2	11	0	6
5980	Carbon_sink	1019	523	103	142	2	2	2	0	653	278	17	58	0	0	0	0	8
84107	Carbon_tax	1669	680	224	265	18	15	53	645	1191	366	56	115	12	9	42	288	9
36913101	Carbon-neutral_fuel	234	33	3	4	2	2	2	0	224	29	2	3	2	2	2	0	0
2099511	Charles_David_Keeling	140	103	10	19	0	0	0	0	91	68	3	12	0	0	0	0	5
54910	Chlorofluorocarbon	584	346	146	177	6	5	24	65	317	161	20	59	2	2	11	0	5
5999	Climate	2794	1376	814	973	16	16	31	352	1673	603	78	350	4	4	9	24	26
5004886	Climate_Change_Science_Program	307	66	14	13	2	2	14	0	273	43	9	7	2	2	14	0	1
47512	Climate_change	4041	1604	1016	1008	58	40	271	10640	2901	891	376	488	42	28	236	6440	17
38596689	Climate_change_adaptation_in_Nepal	45	18	0	0	0	0	0	0	43	16	0	0	0	0	0	0	1
61910	Climate_change_and_agriculture	685	357	119	159	12	11	34	352	483	210	32	75	8	7	30	189	10
26515241	Climate_change_and_ecosystems	96	57	10	16	0	0	0	0	68	32	6	12	0	0	0	0	2
29872326	Climate_change_and_poverty	69	26	2	4	0	0	0	0	58	22	0	2	0	0	0	0	2
12474403	Climate_change_denial	1578	327	242	153	64	46	434	19412	1537	308	222	142	60	43	423	17673	12
26198824	Climate_change_feedback	202	70	19	27	0	0	0	0	172	44	2	10	0	0	0	0	1
34335892	Climate_change_in_Africa	8	5	0	0	0	0	0	0	7	4	0	0	0	0	0	0	0
14329297	Climate_change_in_Australia	354	157	35	57	2	2	2	0	289	98	7	28	0	0	0	0	8
31893579	Climate_change_in_Belgium	13	10	0	0	0	0	0	0	12	9	0	0	0	0	0	0	0
18521372	Climate_change_in_China	147	79	17	24	4	3	4	6	105	41	4	10	0	0	0	0	1
33834771	Climate_change_in_Europe	35	15	2	4	0	0	0	0	29	9	1	3	0	0	0	0	0
33104401	Climate_change_in_Finland	30	14	0	0	0	0	0	0	25	9	0	0	0	0	0	0	0
41425885	Climate_change_in_Grenada	2	2	0	0	0	0	0	0	2	2	0	0	0	0	0	0	1
17765610	Climate_change_in_Japan	60	34	10	18	0	0	0	0	47	24	3	11	0	0	0	0	0
19258753	Climate_change_in_New_Zealand	403	53	4	7	0	0	0	0	390	42	0	3	0	0	0	0	2
18360850	Climate_change_in_Russia	47	31	5	9	0	0	0	0	34	19	1	5	0	0	0	0	1
