article_id	talk_page_id	talk_page	thread_id	thread_title
40138216	40138218	Talk:Geoengineering	3	== Use of &quot;Geoengineering&quot; versus &quot;Geological Engineering&quot; ==
1038280	36514796	Talk:Climate_engineering/Archive_1	12	== Burying charcoal ==
1038280	36514796	Talk:Climate_engineering/Archive_1	16	== Speculative POV fantasy masquerading as science ==
1038280	36514796	Talk:Climate_engineering/Archive_1	21	== Editing without reading ==
1038280	36514796	Talk:Climate_engineering/Archive_1	24	== Battleship artillery ==
1038280	36514796	Talk:Climate_engineering/Archive_1	50	== Terraforming link ==
1038280	36514796	Talk:Climate_engineering/Archive_1	52	== Merge proposal ==
1038280	36514796	Talk:Climate_engineering/Archive_1	58	== Other proposal ==
1038280	36514796	Talk:Climate_engineering/Archive_1	61	== Popular Mechanics ==
1038280	36514796	Talk:Climate_engineering/Archive_1	67	== Edit skirmish ==
1038280	36514796	Talk:Climate_engineering/Archive_1	88	== WMC revert ==
1038280	36514796	Talk:Climate_engineering/Archive_1	90	== Geoengineering costs ==
1038280	36514796	Talk:Climate_engineering/Archive_1	92	== New ref ==
1038280	36514796	Talk:Climate_engineering/Archive_1	95	== Increasing polar land mass ==
1038280	36514796	Talk:Climate_engineering/Archive_1	97	== IPCC conclusions ==
1038280	36514796	Talk:Climate_engineering/Archive_1	99	== Add? [http://www.nature.com/nature/journal/v458/n7242/full/4581077a.html &quot;Time to Act&quot;] from [[Nature (journal)]] ==
1038280	36514796	Talk:Climate_engineering/Archive_1	102	== Add?  [http://www.nature.com/news/2009/090429/full/4581097a.html Climate crunch: Great white hope Geoengineering schemes, ...] from 2009 [[Nature (journal)]] ==
1038280	36514796	Talk:Climate_engineering/Archive_1	104	== Moral Hazard Fallacy - a whiff of non neutrality. ==
1038280	36514796	Talk:Climate_engineering/Archive_1	110	== Add [[Bill Gates]] connection to geoengineering projects with [[Intellectual Ventures]] per [[Z Magazine]] June 2010.  See [[Talk:Bill Gates]]? ==
1038280	36514796	Talk:Climate_engineering/Archive_1	122	== To date, no large-scale geoengineering projects have been undertaken. ==
1038280	36514796	Talk:Climate_engineering/Archive_1	126	== Add *Eli Kintisch's &quot;Hack the Planet: Science's Best Hope, or Worst Nightmare, for Averting Climate Catastrophe&quot; ISBN 978-0470524268  http://hacktheplanetbook.com/ and ref.s ==
1038280	36514796	Talk:Climate_engineering/Archive_1	129	== Would [[List of climate change initiatives]] be a See Also for this article, and visa versa? ==
1038280	36514796	Talk:Climate_engineering/Archive_1	131	== Citation question ==
